serial_no,order_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_name
83,74,1,1/2/2024,12:01:12,18.5,18.5,L,Veggie,Onion Cheese Pizza
84,74,1,1/2/2024,12:01:12,20.25,20.25,L,Veggie,Corn Cheese Pizza
85,74,1,1/2/2024,12:01:12,20.75,20.75,L,Supreme,Paneer Makhani Pizza
86,75,1,1/2/2024,12:10:15,12.5,12.5,S,Supreme,Capsicum Cheese Pizza
87,76,1,1/2/2024,12:21:17,16.5,16.5,L,Classic,Plain Cheese Margherita Pizza
88,76,1,1/2/2024,12:21:17,20.75,20.75,L,Supreme,Paneer Barbeque Pizza
89,77,1,1/2/2024,12:22:46,16.75,16.75,M,Classic,Paneer Tandoori Pizza
90,77,1,1/2/2024,12:22:46,13.25,13.25,M,Classic,Plain Cheese Margherita Pizza
91,78,1,1/2/2024,12:28:14,12,12,S,Classic,Cheese Chilly Pizza
92,78,3,1/2/2024,12:28:14,20.75,62.25,L,Supreme,Paneer Barbeque Pizza
93,78,1,1/2/2024,12:28:14,12.75,12.75,S,Classic,Paneer Cheese Pizza
94,79,1,1/2/2024,12:29:11,20.75,20.75,L,Classic,Paneer Cheese Pizza
95,80,1,1/2/2024,12:35:38,16.75,16.75,M,Classic,Paneer Cheese Pizza
96,81,1,1/2/2024,12:40:01,20.75,20.75,L,Classic,Paneer Cheese Pizza
97,82,1,1/2/2024,12:45:51,20.75,20.75,L,Supreme,Paneer Barbeque Pizza
98,85,1,1/2/2024,13:34:49,16,16,M,Classic,Cheese Chilly Pizza
99,85,1,1/2/2024,13:34:49,12,12,S,Classic,Cheese Chilly Pizza
100,85,1,1/2/2024,13:34:49,20.75,20.75,L,Supreme,Capsicum Cheese Pizza
101,85,1,1/2/2024,13:34:49,16,16,M,Classic,Paneer Peri Peri Pizza
102,86,1,1/2/2024,13:40:31,16.5,16.5,L,Classic,Plain Cheese Margherita Pizza
103,87,1,1/2/2024,14:01:02,16,16,M,Veggie,Corn Cheese Pizza
104,87,1,1/2/2024,14:01:02,20.75,20.75,L,Supreme,Paneer Makhani Pizza
105,87,1,1/2/2024,14:01:02,12.5,12.5,S,Supreme,Paneer Makhani Pizza
106,88,1,1/2/2024,14:10:08,18.5,18.5,L,Veggie,Onion Cheese Pizza
107,89,1,1/2/2024,14:30:19,20.75,20.75,L,Classic,Paneer Cheese Pizza
108,90,1,1/2/2024,15:08:48,12.75,12.75,S,Classic,Paneer Cheese Pizza
109,91,2,1/2/2024,15:14:43,20.75,41.5,L,Classic,Paneer Tandoori Pizza
110,92,1,1/2/2024,15:17:02,16.75,16.75,M,Classic,Paneer Tandoori Pizza
111,92,1,1/2/2024,15:17:02,20.75,20.75,L,Supreme,Capsicum Cheese Pizza
112,92,1,1/2/2024,15:17:02,16.5,16.5,M,Supreme,Capsicum Cheese Pizza
113,92,1,1/2/2024,15:17:02,12.5,12.5,S,Supreme,Paneer Makhani Pizza
114,92,2,1/2/2024,15:17:02,16,32,M,Classic,Paneer Peri Peri Pizza
115,98,1,1/2/2024,17:18:18,20.5,20.5,L,Classic,Cheese Chilly Pizza
116,99,1,1/2/2024,17:45:42,20.75,20.75,L,Supreme,Capsicum Cheese Pizza
117,100,1,1/2/2024,17:46:17,16.5,16.5,L,Classic,Plain Cheese Margherita Pizza
118,101,1,1/2/2024,17:51:33,16.5,16.5,M,Supreme,Paneer Barbeque Pizza
119,102,1,1/2/2024,17:54:04,12.75,12.75,S,Classic,Paneer Tandoori Pizza
120,102,1,1/2/2024,17:54:04,12.5,12.5,S,Supreme,Veg Special Pizza
121,103,1,1/2/2024,18:02:09,12.5,12.5,S,Supreme,Paneer Makhani Pizza
122,104,1,1/2/2024,18:02:12,16.75,16.75,M,Classic,Paneer Tandoori Pizza
123,105,2,1/2/2024,18:12:01,10.5,21,S,Classic,Plain Cheese Margherita Pizza
124,105,1,1/2/2024,18:12:01,16.5,16.5,M,Supreme,Veg Special Pizza
125,106,1,1/2/2024,18:12:13,20.25,20.25,L,Veggie,Corn Cheese Pizza
126,106,1,1/2/2024,18:12:13,20.75,20.75,L,Supreme,Paneer Barbeque Pizza
127,107,1,1/2/2024,18:25:09,16.5,16.5,M,Supreme,Capsicum Cheese Pizza
128,107,1,1/2/2024,18:25:09,20.75,20.75,L,Supreme,Paneer Barbeque Pizza
129,108,1,1/2/2024,18:25:25,20.5,20.5,L,Classic,Cheese Chilly Pizza
130,108,1,1/2/2024,18:25:25,16.5,16.5,L,Classic,Plain Cheese Margherita Pizza
131,108,1,1/2/2024,18:25:25,20.75,20.75,L,Supreme,Paneer Makhani Pizza
132,109,1,1/2/2024,18:27:50,20.75,20.75,L,Supreme,Capsicum Cheese Pizza
133,109,1,1/2/2024,18:27:50,20.75,20.75,L,Supreme,Veg Special Pizza
134,110,1,1/2/2024,18:36:19,12.5,12.5,S,Supreme,Paneer Barbeque Pizza
135,111,1,1/2/2024,18:38:01,18.5,18.5,L,Veggie,Onion Cheese Pizza
136,113,1,1/2/2024,18:50:21,20.25,20.25,L,Veggie,Corn Cheese Pizza
137,115,1,1/2/2024,19:05:17,16.75,16.75,M,Classic,Paneer Cheese Pizza
138,116,1,1/2/2024,19:18:49,18.5,18.5,L,Veggie,Onion Cheese Pizza
139,118,1,1/2/2024,19:26:59,20.75,20.75,L,Supreme,Veg Special Pizza
140,120,1,1/2/2024,19:35:07,12,12,S,Classic,Cheese Chilly Pizza
141,120,1,1/2/2024,19:35:07,10.5,10.5,S,Classic,Plain Cheese Margherita Pizza
142,121,1,1/2/2024,19:38:48,16.75,16.75,M,Classic,Paneer Tandoori Pizza
143,122,1,1/2/2024,19:50:19,16.5,16.5,M,Supreme,Capsicum Cheese Pizza
144,124,1,1/2/2024,20:12:34,12.75,12.75,S,Classic,Paneer Tandoori Pizza
145,124,1,1/2/2024,20:12:34,20.75,20.75,L,Supreme,Paneer Barbeque Pizza
146,124,1,1/2/2024,20:12:34,12,12,S,Classic,Paneer Peri Peri Pizza
147,125,1,1/2/2024,20:31:06,25.5,25.5,XL,Classic,Paneer Peri Peri Pizza
148,128,1,1/2/2024,21:05:06,12.5,12.5,S,Supreme,Paneer Barbeque Pizza
149,129,1,1/2/2024,21:13:02,16,16,M,Classic,Paneer Peri Peri Pizza
150,130,1,1/2/2024,21:14:55,10.5,10.5,S,Classic,Plain Cheese Margherita Pizza
151,130,1,1/2/2024,21:14:55,16,16,M,Veggie,Corn Cheese Pizza
152,131,1,1/2/2024,21:33:10,18.5,18.5,L,Veggie,Onion Cheese Pizza
153,131,1,1/2/2024,21:33:10,12,12,S,Veggie,Paneer Peppy Pizza
154,131,1,1/2/2024,21:33:10,12.5,12.5,S,Supreme,Paneer Makhani Pizza
155,133,1,1/2/2024,22:00:17,20.75,20.75,L,Classic,Paneer Tandoori Pizza
156,133,1,1/2/2024,22:00:17,16.5,16.5,L,Classic,Plain Cheese Margherita Pizza
157,133,1,1/2/2024,22:00:17,12,12,S,Classic,Paneer Peri Peri Pizza
158,134,1,1/2/2024,22:13:24,12.5,12.5,S,Supreme,Paneer Makhani Pizza
159,136,1,1/2/2024,22:32:49,18.5,18.5,L,Veggie,Onion Cheese Pizza
160,137,1,1/3/2024,11:34:10,16.5,16.5,M,Supreme,Paneer Barbeque Pizza
161,139,1,1/3/2024,11:57:39,18.5,18.5,L,Veggie,Onion Cheese Pizza
162,140,1,1/3/2024,12:26:44,12.5,12.5,S,Supreme,Veg Special Pizza
163,141,1,1/3/2024,13:16:01,16,16,M,Classic,Cheese Chilly Pizza
164,142,1,1/3/2024,13:33:59,16,16,M,Veggie,Paneer Peppy Pizza
165,143,1,1/3/2024,13:41:36,12,12,S,Classic,Cheese Chilly Pizza
166,143,1,1/3/2024,13:41:36,16.5,16.5,L,Classic,Plain Cheese Margherita Pizza
167,143,1,1/3/2024,13:41:36,16,16,M,Veggie,Corn Cheese Pizza
168,143,1,1/3/2024,13:41:36,12.5,12.5,S,Supreme,Veg Special Pizza
169,143,1,1/3/2024,13:41:36,20.75,20.75,L,Classic,Paneer Cheese Pizza
170,144,3,1/3/2024,13:44:28,16.75,50.25,M,Classic,Paneer Tandoori Pizza
171,144,1,1/3/2024,13:44:28,18.5,18.5,L,Veggie,Onion Cheese Pizza
172,144,1,1/3/2024,13:44:28,20.75,20.75,L,Supreme,Paneer Barbeque Pizza
173,144,1,1/3/2024,13:44:28,16.75,16.75,M,Classic,Paneer Cheese Pizza
174,145,1,1/3/2024,13:53:48,12,12,S,Classic,Paneer Peri Peri Pizza
175,146,1,1/3/2024,14:22:10,13.25,13.25,M,Classic,Plain Cheese Margherita Pizza
176,147,1,1/3/2024,14:32:51,25.5,25.5,XL,Classic,Paneer Peri Peri Pizza
177,151,1,1/3/2024,15:09:34,12.5,12.5,S,Supreme,Paneer Makhani Pizza
178,152,1,1/3/2024,15:09:42,10.5,10.5,S,Classic,Plain Cheese Margherita Pizza
179,152,1,1/3/2024,15:09:42,12.75,12.75,S,Classic,Paneer Cheese Pizza
180,152,1,1/3/2024,15:09:42,16,16,M,Classic,Paneer Peri Peri Pizza
181,153,1,1/3/2024,15:16:34,16,16,M,Veggie,Corn Cheese Pizza
182,154,1,1/3/2024,15:22:43,12.5,12.5,S,Supreme,Veg Special Pizza
183,156,1,1/3/2024,15:42:19,20.75,20.75,L,Classic,Paneer Cheese Pizza
184,157,1,1/3/2024,15:43:03,20.75,20.75,L,Supreme,Capsicum Cheese Pizza
185,158,1,1/3/2024,15:54:30,16.75,16.75,M,Classic,Paneer Cheese Pizza
186,159,1,1/3/2024,15:59:22,16.75,16.75,M,Classic,Paneer Cheese Pizza
187,160,1,1/3/2024,16:35:33,16,16,M,Classic,Cheese Chilly Pizza
188,161,1,1/3/2024,16:43:46,10.5,10.5,S,Classic,Plain Cheese Margherita Pizza
189,161,1,1/3/2024,16:43:46,16.5,16.5,M,Supreme,Paneer Barbeque Pizza
190,161,1,1/3/2024,16:43:46,25.5,25.5,XL,Classic,Paneer Peri Peri Pizza
191,163,1,1/3/2024,16:54:54,13.25,13.25,M,Classic,Plain Cheese Margherita Pizza
192,163,1,1/3/2024,16:54:54,16,16,M,Classic,Paneer Peri Peri Pizza
193,165,1,1/3/2024,16:57:37,16.5,16.5,M,Supreme,Veg Special Pizza
194,166,1,1/3/2024,16:58:51,12.5,12.5,S,Supreme,Veg Special Pizza
195,167,1,1/3/2024,17:00:49,20.75,20.75,L,Classic,Paneer Tandoori Pizza
196,167,1,1/3/2024,17:00:49,16.5,16.5,M,Supreme,Capsicum Cheese Pizza
197,170,1,1/3/2024,17:21:31,16.5,16.5,L,Classic,Plain Cheese Margherita Pizza
198,172,1,1/3/2024,17:29:24,16.5,16.5,M,Supreme,Paneer Makhani Pizza
199,172,1,1/3/2024,17:29:24,20.75,20.75,L,Classic,Paneer Cheese Pizza
200,173,1,1/3/2024,17:35:30,16,16,M,Classic,Cheese Chilly Pizza
201,175,1,1/3/2024,17:50:51,20.75,20.75,L,Supreme,Capsicum Cheese Pizza
202,177,1,1/3/2024,17:54:36,20.75,20.75,L,Classic,Paneer Cheese Pizza
203,179,1,1/3/2024,18:20:14,16.5,16.5,L,Classic,Plain Cheese Margherita Pizza
204,180,1,1/3/2024,18:33:34,20.5,20.5,L,Classic,Cheese Chilly Pizza
205,180,1,1/3/2024,18:33:34,20.75,20.75,L,Supreme,Veg Special Pizza
206,181,1,1/3/2024,18:49:32,20.25,20.25,L,Veggie,Corn Cheese Pizza
207,184,1,1/3/2024,18:59:05,16.5,16.5,L,Classic,Plain Cheese Margherita Pizza
208,186,1,1/3/2024,19:36:00,20.25,20.25,L,Veggie,Corn Cheese Pizza
209,186,1,1/3/2024,19:36:00,20.75,20.75,L,Classic,Paneer Cheese Pizza
210,187,1,1/3/2024,19:37:12,18.5,18.5,L,Veggie,Onion Cheese Pizza
211,188,1,1/3/2024,20:08:39,18.5,18.5,L,Veggie,Onion Cheese Pizza
212,189,1,1/3/2024,20:12:14,12.75,12.75,S,Classic,Paneer Cheese Pizza
213,190,1,1/3/2024,20:14:23,20.75,20.75,L,Classic,Paneer Tandoori Pizza
214,190,1,1/3/2024,20:14:23,20.75,20.75,L,Supreme,Veg Special Pizza
215,194,1,1/3/2024,21:21:24,12.75,12.75,S,Classic,Paneer Tandoori Pizza
216,195,1,1/3/2024,21:25:20,20.75,20.75,L,Classic,Paneer Tandoori Pizza
217,196,1,1/3/2024,21:40:14,16.5,16.5,M,Supreme,Paneer Barbeque Pizza
218,200,1,1/3/2024,22:24:05,25.5,25.5,XL,Classic,Paneer Peri Peri Pizza
219,201,1,1/3/2024,22:29:59,20.75,20.75,L,Supreme,Capsicum Cheese Pizza
220,201,1,1/3/2024,22:29:59,25.5,25.5,XL,Classic,Paneer Peri Peri Pizza
221,203,1,1/4/2024,11:30:48,12,12,S,Classic,Paneer Peri Peri Pizza
222,204,1,1/4/2024,11:36:25,20.75,20.75,L,Supreme,Paneer Barbeque Pizza
223,205,1,1/4/2024,11:43:54,12.5,12.5,S,Supreme,Veg Special Pizza
224,206,1,1/4/2024,11:45:10,20.75,20.75,L,Supreme,Paneer Barbeque Pizza
225,207,1,1/4/2024,12:03:58,20.75,20.75,L,Supreme,Paneer Barbeque Pizza
226,208,1,1/4/2024,12:12:05,20.75,20.75,L,Classic,Paneer Tandoori Pizza
227,208,1,1/4/2024,12:12:05,12.75,12.75,S,Classic,Paneer Tandoori Pizza
228,208,1,1/4/2024,12:12:05,16,16,M,Classic,Paneer Peri Peri Pizza
229,214,1,1/4/2024,13:39:16,16.5,16.5,M,Supreme,Capsicum Cheese Pizza
230,214,1,1/4/2024,13:39:16,12,12,S,Veggie,Corn Cheese Pizza
231,215,1,1/4/2024,13:44:49,12,12,S,Veggie,Paneer Peppy Pizza
232,216,1,1/4/2024,14:31:56,16.75,16.75,M,Classic,Paneer Tandoori Pizza
233,216,1,1/4/2024,14:31:56,18.5,18.5,L,Veggie,Onion Cheese Pizza
234,216,1,1/4/2024,14:31:56,16.5,16.5,L,Classic,Plain Cheese Margherita Pizza
235,217,1,1/4/2024,14:35:03,16,16,M,Classic,Cheese Chilly Pizza
236,218,1,1/4/2024,14:35:11,16.5,16.5,M,Supreme,Paneer Barbeque Pizza
237,219,1,1/4/2024,14:42:01,20.75,20.75,L,Classic,Paneer Tandoori Pizza
238,219,1,1/4/2024,14:42:01,18.5,18.5,L,Veggie,Onion Cheese Pizza
239,220,1,1/4/2024,15:31:59,10.5,10.5,S,Classic,Plain Cheese Margherita Pizza
240,220,1,1/4/2024,15:31:59,20.75,20.75,L,Supreme,Paneer Barbeque Pizza
241,221,1,1/4/2024,15:33:18,18.5,18.5,L,Veggie,Onion Cheese Pizza
242,221,1,1/4/2024,15:33:18,16.5,16.5,M,Supreme,Veg Special Pizza
243,221,1,1/4/2024,15:33:18,12,12,S,Classic,Paneer Peri Peri Pizza
244,224,1,1/4/2024,16:39:58,16.5,16.5,M,Supreme,Capsicum Cheese Pizza
245,224,1,1/4/2024,16:39:58,20.75,20.75,L,Classic,Paneer Cheese Pizza
246,225,1,1/4/2024,16:41:48,20.75,20.75,L,Classic,Paneer Tandoori Pizza
247,225,1,1/4/2024,16:41:48,16.75,16.75,M,Classic,Paneer Tandoori Pizza
248,226,1,1/4/2024,16:59:39,20.5,20.5,L,Classic,Cheese Chilly Pizza
249,227,1,1/4/2024,17:24:39,16.75,16.75,M,Classic,Paneer Tandoori Pizza
250,227,1,1/4/2024,17:24:39,16,16,M,Classic,Paneer Peri Peri Pizza
251,229,1,1/4/2024,17:37:57,20.75,20.75,L,Supreme,Veg Special Pizza
252,230,1,1/4/2024,17:58:38,16.75,16.75,M,Classic,Paneer Cheese Pizza
253,231,1,1/4/2024,18:04:18,12.5,12.5,S,Supreme,Veg Special Pizza
254,232,1,1/4/2024,18:21:59,16.75,16.75,M,Classic,Paneer Tandoori Pizza
255,232,1,1/4/2024,18:21:59,20.75,20.75,L,Supreme,Paneer Makhani Pizza
256,234,1,1/4/2024,18:36:09,12.5,12.5,S,Supreme,Capsicum Cheese Pizza
257,236,1,1/4/2024,19:21:04,20.5,20.5,L,Classic,Cheese Chilly Pizza
258,236,1,1/4/2024,19:21:04,16,16,M,Veggie,Paneer Peppy Pizza
259,237,1,1/4/2024,19:27:48,12,12,S,Veggie,Paneer Peppy Pizza
260,239,1,1/4/2024,19:57:52,20.75,20.75,L,Supreme,Capsicum Cheese Pizza
261,239,1,1/4/2024,19:57:52,16.75,16.75,M,Classic,Paneer Cheese Pizza
262,241,1,1/4/2024,20:11:25,20.75,20.75,L,Supreme,Paneer Makhani Pizza
263,242,1,1/4/2024,20:15:29,20.75,20.75,L,Classic,Paneer Cheese Pizza
264,243,1,1/4/2024,20:26:17,20.5,20.5,L,Classic,Cheese Chilly Pizza
265,243,1,1/4/2024,20:26:17,12.5,12.5,S,Supreme,Paneer Makhani Pizza
266,244,1,1/4/2024,20:26:22,12.5,12.5,S,Supreme,Capsicum Cheese Pizza
267,244,1,1/4/2024,20:26:22,20.75,20.75,L,Supreme,Paneer Barbeque Pizza
268,245,1,1/4/2024,20:28:41,20.75,20.75,L,Classic,Paneer Tandoori Pizza
269,247,1,1/4/2024,20:55:29,13.25,13.25,M,Classic,Plain Cheese Margherita Pizza
270,247,1,1/4/2024,20:55:29,12.5,12.5,S,Supreme,Paneer Makhani Pizza
271,248,1,1/4/2024,20:58:19,10.5,10.5,S,Classic,Plain Cheese Margherita Pizza
272,248,1,1/4/2024,20:58:19,20.75,20.75,L,Classic,Paneer Cheese Pizza
273,249,1,1/4/2024,21:06:16,20.75,20.75,L,Classic,Paneer Tandoori Pizza
274,251,1,1/4/2024,21:10:05,16,16,M,Veggie,Corn Cheese Pizza
275,252,1,1/4/2024,22:13:15,16.5,16.5,M,Supreme,Veg Special Pizza
276,254,1,1/4/2024,22:22:13,20.75,20.75,L,Classic,Paneer Tandoori Pizza
277,254,1,1/4/2024,22:22:13,18.5,18.5,L,Veggie,Onion Cheese Pizza
278,255,1,1/5/2024,11:23:35,18.5,18.5,L,Veggie,Onion Cheese Pizza
279,255,1,1/5/2024,11:23:35,16,16,M,Veggie,Paneer Peppy Pizza
280,255,1,1/5/2024,11:23:35,16.5,16.5,L,Classic,Plain Cheese Margherita Pizza
281,258,1,1/5/2024,11:59:23,16,16,M,Classic,Cheese Chilly Pizza
282,260,1,1/5/2024,12:06:27,18.5,18.5,L,Veggie,Onion Cheese Pizza
283,260,1,1/5/2024,12:06:27,20.5,20.5,L,Classic,Paneer Peri Peri Pizza
284,264,1,1/5/2024,13:03:59,16,16,M,Veggie,Corn Cheese Pizza
285,265,1,1/5/2024,13:04:42,20.25,20.25,L,Veggie,Corn Cheese Pizza
286,265,1,1/5/2024,13:04:42,20.75,20.75,L,Supreme,Paneer Barbeque Pizza
287,268,1,1/5/2024,13:40:46,20.75,20.75,L,Supreme,Capsicum Cheese Pizza
288,270,1,1/5/2024,14:09:02,20.75,20.75,L,Classic,Paneer Cheese Pizza
289,271,1,1/5/2024,14:22:19,16,16,M,Classic,Cheese Chilly Pizza
290,271,1,1/5/2024,14:22:19,16.5,16.5,M,Supreme,Capsicum Cheese Pizza
291,271,1,1/5/2024,14:22:19,12,12,S,Classic,Paneer Peri Peri Pizza
292,272,1,1/5/2024,14:24:05,16.5,16.5,M,Supreme,Capsicum Cheese Pizza
293,274,1,1/5/2024,14:36:33,20.75,20.75,L,Classic,Paneer Cheese Pizza
294,275,1,1/5/2024,14:38:14,20.5,20.5,L,Classic,Cheese Chilly Pizza
295,275,1,1/5/2024,14:38:14,18.5,18.5,L,Veggie,Onion Cheese Pizza
296,276,1,1/5/2024,15:18:18,18.5,18.5,L,Veggie,Onion Cheese Pizza
297,276,1,1/5/2024,15:18:18,20.75,20.75,L,Supreme,Paneer Barbeque Pizza
298,280,1,1/5/2024,16:20:23,16.5,16.5,M,Supreme,Veg Special Pizza
299,282,1,1/5/2024,16:49:38,12,12,S,Classic,Cheese Chilly Pizza
300,282,1,1/5/2024,16:49:38,18.5,18.5,L,Veggie,Onion Cheese Pizza
301,284,1,1/5/2024,16:58:16,10.5,10.5,S,Classic,Plain Cheese Margherita Pizza
